Feature,Importance
TOKEN,0.185292575549184
SPEC_is_ByteArrayOutputStream_FlushBeforeRetrieve,0.149816105202913
NLOC,0.144107812063358
CC,0.0935875220088725
PARAM,0.0683130506603481
SEVERITY_is_warning,0.0410285214871991
SPEC_is_Iterator_HasNext,0.0320159672495362
SEVERITY_is_suggestion,0.0310673201261425
SPEC_is_Collections_SynchronizedCollection,0.0275767012622758
CompareObjectsWithEquals,0.0272644568453833
MissingBreakInSwitch,0.0217062000677915
SPEC_is_Long_BadParsingArgs,0.0168471532010263
SEVERITY_is_error,0.0157579618755543
EmptyCatchBlock,0.0146888574756749
JumbledIncrementer,0.0134212659762669
SEVERITY_is_na,0.0119492771895148
UseLocaleWithCaseConversions,0.00955414431273459
MethodWithSameNameAsEnclosingClass,0.00945851205849885
EmptyWhileStmt,0.00823654100506909
SPEC_is_StringTokenizer_HasMoreElements,0.00811194931554754
UseCorrectExceptionLogging,0.00670923270208594
SPEC_is_Collections_SynchronizedMap,0.00602768651589117
DontImportSun,0.00506203173649278
SPEC_is_CharSequence_UndefinedHashCode,0.00504274985459101
SuspiciousOctalEscape,0.00463403099189189
SPEC_is_InputStream_ManipulateAfterClose,0.00426570842628624
SPEC_is_URLConnection_Connect,0.0039816692918827
SuspiciousHashcodeMethodName,0.00374804916642922
SPEC_is_Short_BadParsingArgs,0.00345414606046949
SPEC_is_Byte_BadParsingArgs,0.00309901695108323
CloseResource,0.00284097563203721
SPEC_is_FSM373,0.00266777079026925
SPEC_is_FSM162,0.00235840571593418
NonStaticInitializer,0.00227751328405826
SPEC_is_Reader_ManipulateAfterClose,0.00219304989085156
CloneMethodMustImplementCloneable,0.00207019498210647
SPEC_is_Closeable_MultipleClose,0.00193911137953097
SimpleDateFormatNeedsLocale,0.00158046660703023
SPEC_is_ListIterator_hasNextPrevious,0.00144496162137322
AssignmentInOperand,0.00106553349128028
SPEC_is_Closeable_MeaninglessClose,0.00105149970700232
UnnecessaryCaseChange,0.00103707764245847
SPEC_is_CharSequence_NotInMap,0.000847719836927538
InvalidSlf4jMessageFormat,0.000576955128134152
SPEC_is_Comparable_CompareToNull,0.000158389122868915
SPEC_is_Map_UnsafeIterator,0.000036509235922468
MisplacedNullCheck,0.000027649302219501
